year,country_code,pop_ages,gender,number
1960,COL,15-64,female,3975810.0
1960,COL,15-64,male,3883766.0
1960,COL,65+,female,251192.0
1960,COL,65+,male,193984.0
1960,COM,0-14,female,41085.0
1960,COM,0-14,male,41208.0
1960,COM,15-64,female,55221.0
1960,COM,15-64,male,53142.0
1960,COM,65+,female,3849.0
1960,COM,65+,male,3196.0
1960,COD,0-14,female,3291957.0
1960,COD,0-14,male,3254239.0
1960,COD,15-64,female,4399118.0
1960,COD,15-64,male,3859097.0
1960,COD,65+,female,278175.0
1960,COD,65+,male,182261.0
1960,COG,0-14,female,225390.0
1960,COG,0-14,male,225937.0
1960,COG,15-64,female,287213.0
1960,COG,15-64,male,280743.0
1960,COG,65+,female,20710.0
1960,COG,65+,male,16739.0
1960,CRI,0-14,female,302642.0
1960,CRI,0-14,male,313810.0
1960,CRI,15-64,female,336259.0
1960,CRI,15-64,male,334470.0
1960,CRI,65+,female,21484.0
1960,CRI,65+,male,18830.0
1960,CIV,0-14,female,804226.0
1960,CIV,0-14,male,780551.0
1960,CIV,15-64,female,966771.0
1960,CIV,15-64,male,1033440.0
1960,CIV,65+,female,46923.0
1960,CIV,65+,male,41755.0
1960,HRV,0-14,female,560674.0
1960,HRV,0-14,male,557673.0
1960,HRV,15-64,female,1450658.0
1960,HRV,15-64,male,1270463.0
1960,HRV,65+,female,187091.0
1960,HRV,65+,male,113622.0
1960,CUB,0-14,female,1277330.0
1960,CUB,0-14,male,1330314.0
1960,CUB,15-64,female,2118149.0
1960,CUB,15-64,male,2201995.0
1960,CUB,65+,female,145265.0
1960,CUB,65+,male,165028.0
1960,CUW,0-14,female,25436.0
1960,CUW,0-14,male,26388.0
1960,CUW,15-64,female,33856.0
1960,CUW,15-64,male,33902.0
1960,CUW,65+,female,3508.0
1960,CUW,65+,male,1735.0
1960,CYP,0-14,female,105265.0
1960,CYP,0-14,male,108778.0
1960,CYP,15-64,female,175957.0
1960,CYP,15-64,male,162271.0
1960,CYP,65+,female,17664.0
1960,CYP,65+,male,16555.0
1960,CZE,0-14,female,1202680.0
1960,CZE,0-14,male,1257826.0
1960,CZE,15-64,female,3200071.0
1960,CZE,15-64,male,3040646.0
1960,CZE,65+,female,541127.0
1960,CZE,65+,male,359656.0
1960,DNK,0-14,female,563173.0
1960,DNK,0-14,male,591247.0
1960,DNK,15-64,female,1484251.0
1960,DNK,15-64,male,1455945.0
1960,DNK,65+,female,260997.0
1960,DNK,65+,male,223990.0
1960,DJI,0-14,female,19031.0
1960,DJI,0-14,male,18972.0
1960,DJI,15-64,female,23283.0
1960,DJI,15-64,male,22717.0
1960,DJI,65+,female,1127.0
1960,DJI,65+,male,895.0
1960,DMA,0-14,female,13435.0
1960,DMA,0-14,male,13119.0
1960,DMA,15-64,female,16513.0
1960,DMA,15-64,male,13071.0
1960,DMA,65+,female,2063.0
1960,DMA,65+,male,1173.0
1960,DOM,0-14,female,785386.0
1960,DOM,0-14,male,802555.0
1960,DOM,15-64,female,793303.0
1960,DOM,15-64,male,802037.0
1960,DOM,65+,female,42669.0
1960,DOM,65+,male,42387.0
1960,ECU,0-14,female,996578.0
1960,ECU,0-14,male,1018825.0
1960,ECU,15-64,female,1187404.0
1960,ECU,15-64,male,1177062.0
1960,ECU,65+,female,117767.0
1960,ECU,65+,male,93255.0
1960,EGY,0-14,female,5527125.0
1960,EGY,0-14,male,5856381.0
1960,EGY,15-64,female,7300126.0
1960,EGY,15-64,male,7234046.0
1960,EGY,65+,female,565048.0
1960,EGY,65+,male,413753.0
1960,SLV,0-14,female,632626.0
1960,SLV,0-14,male,638407.0
1960,SLV,15-64,female,729541.0
1960,SLV,15-64,male,699374.0
1960,SLV,65+,female,49530.0
1960,SLV,65+,male,41982.0
1960,GNQ,0-14,female,52188.0
1960,GNQ,0-14,male,51589.0
1960,GNQ,15-64,female,77821.0
1960,GNQ,15-64,male,73084.0
1960,GNQ,65+,female,8526.0
1960,GNQ,65+,male,6600.0
1960,ERI,0-14,female,203661.0
1960,ERI,0-14,male,199474.0
1960,ERI,15-64,female,274519.0
1960,ERI,15-64,male,267580.0
1960,ERI,65+,female,15648.0
1960,ERI,65+,male,11665.0
