year,country_code,employers,vulnerable_emp,child_emp,part_time,labor_force_fem,labor_force_total,unemp
1982,GBR,,,,,,,10.9
1982,GRC,,,,,,,4.94
1982,GTM,,,,,,,2.27
1982,HND,,,,,,,7.3
1982,IDN,,,,,,,2.85
1982,ISR,,,,,,,4.81
1982,ITA,,,,,,,9.03
1982,JAM,,,,,,,26.7
1982,JPN,,,,,,,2.4
1982,KOR,,,,,,,4.363
1982,MAR,,,,,,,11.503
1982,MKD,,,,,,,22.0
1982,MYS,,,,,,,3.4
1982,NOR,,,,,,,1.7
1982,PAK,,,,,,,3.82
1982,PAN,,,,,,,8.41
1982,PER,,,,,,,6.98
1982,PHL,,,,,,,5.5
1982,PRY,,,,,,,5.61
1982,STP,,,,,,,0.56
1982,SWE,,,,,,,3.14
1982,THA,,,,,,,2.66
1982,TTO,,,,,,,6.22
1982,TUR,,,,,,,10.93
1982,URY,,,,,,,11.7
1982,USA,,,,,,,9.7
1982,VEN,,,,,,,8.05
1982,ZWE,,,,,,,10.8
1983,ALB,,,,,,,4.4
1983,ARG,,,,,,,4.17
1983,AUS,,,,,,,9.961
1983,AUT,,,,,,,4.11
1983,BEL,,,,18.65,,,11.66
1983,BOL,,,,,,,14.19
1983,BRA,,,,,,,4.62
1983,CAN,,,,36.16,,,12.018
1983,CHE,,,,,,,0.9
1983,CHL,,,,,,,14.65
1983,CHN,,,,,,,2.3
1983,COL,,,,,,,11.13
1983,CYP,,,,,,,3.3
1983,DEU,,,,19.66,,,6.449
1983,DNK,,,,28.54,,,9.745
1983,EGY,,,,,,,6.47
1983,ESP,,,,,,,17.49
1983,FIN,,,,,,,5.43
1983,FRA,,,,21.06,,,7.918
1983,GBR,,,,35.86,,,11.088
1983,GRC,,,,20.98,,,7.804
1983,HTI,,,,,,,12.2
1983,IRL,,,,16.67,,,14.764
1983,ISR,,,,,,,4.32
1983,ITA,,,,14.59,,,8.531
1983,JOR,,,,,,,6.6
1983,JPN,,,,,,,2.6
1983,KOR,,,,,,,4.068
1983,LUX,,,,15.33,,,3.198
1983,MKD,,,,,,,20.9
1983,MLT,,,,,,,8.5
1983,MWI,,,,,,,5.4
1983,MYS,,,,,,,3.8
1983,NLD,,,,30.85,,,11.851
1983,NOR,,,,,,,2.04
1983,PAK,,,,,,,4.3
1983,PAN,,,,,,,9.71
1983,PER,,,,,,,9.2
1983,PHL,,,,,,,4.89
1983,PRT,,,,,,,7.3
1983,PRY,,,,,,,8.25
1983,SDN,,,,,,,13.2
1983,STP,,,,,,,0.48
1983,SWE,,,,,,,3.48
1983,SYR,,,,,,,4.24
1983,THA,,,,,,,2.9
1983,TTO,,,,,,,6.61
1983,TUR,,,,,,,12.06
1983,USA,,,,,,,9.6
1983,VEN,,,,,,,11.49
1984,AGO,,,,,,,14.2
1984,ALB,,,,,,,5.7
1984,ARG,,,,,,,3.54
1984,AUS,,,,,,,8.987
1984,AUT,,,,,,,3.8
1984,BEL,,,,17.39,,,11.882
1984,BGD,,,,,,,2.04
1984,BOL,,,,,,,14.66
1984,BRA,,,,,,,4.04
1984,CAN,,,,35.66,,,11.344
1984,CHE,,,,,,,1.1
1984,CHL,,,,,,,13.91
1984,CHN,,,,,,,1.9
1984,COL,,,,,,,13.0
1984,CYP,,,,,,,3.3
1984,DEU,,,,18.47,,,6.673
1984,DNK,,,,48.45,,,8.868
1984,EGY,,,,,,,5.89
1984,ESP,,,,,,,20.25
1984,ETH,,,,,,,1.2
1984,FIN,,,,,,,5.12
1984,FRA,,,,21.8,,,9.533
1984,GBR,,,,40.22,,,10.901
1984,GRC,,,,23.68,,,8.1
1984,IRL,,,,25.33,,,16.438
1984,ISR,,,,,,,5.69
1984,ITA,,,,17.58,,,9.404
1984,JPN,,,,,,,2.7
1984,KOR,,,,,,,3.801
1984,LUX,,,,14.62,,,2.628
1984,MKD,,,,,,,21.1
1984,MYS,,,,,,,5.84
1984,NOR,,,,,,,2.9
1984,PAK,,,,,,,4.16
1984,PAN,,,,,,,10.08
1984,PER,,,,,,,10.5
1984,PHL,,,,,,,7.03
1984,PRY,,,,,,,7.33
1984,STP,,,,,,,0.34
1984,SWE,,,,,,,3.07
1984,SYR,,,,,,,4.7
1984,THA,,,,,,,2.9
1984,TTO,,,,,,,8.17
1984,TUR,,,,,,,11.92
1984,URY,,,,,,,9.94
1984,USA,,,,,,,7.5
1984,VEN,,,,,,,12.86
1985,AGO,,,,,,,14.9
1985,ALB,,,,,,,6.7
1985,ARE,,,,,,,1.15
1985,ARG,,,,,,,5.3
1985,AUS,,,,,,,8.258
1985,AUT,,,,,,,3.6
1985,BEL,,,,17.05,,,11.321
1985,BFA,,,,,,,1.3
1985,BGD,,,,,,,2.02
1985,BOL,,,,,,,19.28
1985,BRA,,,,,,,3.38
1985,BWA,,,,,,,25.67
1985,CAN,,,,35.72,,,10.503
1985,CHE,,,,,,,1.0
1985,CHN,,,,,,,1.8
1985,COL,,,,,,,13.89
1985,CYP,,,,,,,3.3
1985,DEU,,,,18.14,,,6.875
1985,DNK,,,,41.12,,,7.797
1985,ESP,,,,,,,21.64
1985,FIN,,,,,,,5.0
1985,FRA,,,,22.11,,,10.259
1985,GBR,,,,38.05,,,11.48
1985,GRC,,,,24.77,,,7.8
1985,IDN,,,,,,,2.1
1985,IRL,,,,15.57,,,17.92
1985,ISR,,,,,,,6.33
1985,ITA,,,,18.08,,,9.404
1985,JAM,,,,,,,33.39
1985,JPN,,,,,,,2.6
1985,KOR,,,,,,,3.983
1985,LUX,,,,14.26,,,2.956
1985,MKD,,,,,,,21.6
1985,MLT,,,,,,,8.1
1985,MYS,,,,,,,6.92
1985,NIC,,,,,,,3.2
1985,NLD,,,,33.99,,,10.48
1985,NOR,,,,,,,2.32
1985,PAK,,,,,,,3.97
1985,PAN,,,,,,,12.34
1985,PER,,,,,,,11.79
1985,PHL,,,,,,,6.07
1985,PRT,,,,,,,8.18
1985,PRY,,,,,,,5.13
1985,SDN,,,,,,,12.1
1985,SLV,,,,,,,16.95
1985,SWE,,,,,,,2.83
1985,THA,,,,,,,4.93
1985,TTO,,,,,,,9.31
1985,TUR,,,,,,,11.21
1985,USA,,,,,,,7.2
1985,VEN,,,,,,,13.16
1986,AGO,,,,,,,18.9
1986,ALB,,,,,,,6.4
1986,ARG,,,,,,,4.4
1986,AUS,,,,,,,8.081
1986,AUT,,,,,,,3.12
1986,BEL,,,,17.62,,,11.28
1986,BEN,,,,,,,0.18
1986,BGD,,,,,,,0.96
1986,BOL,,,,,,,19.76
1986,BRA,,,,,,,2.37
1986,CAN,,,,35.63,,,9.593
1986,CHE,,,,,,,0.8
1986,CHL,,,,,,,8.71
1986,CHN,,,,,,,2.0
1986,COL,,,,,,,12.94
1986,CYP,,,,,,,3.7
1986,DEU,,,,16.68,,,6.608
1986,DNK,,,,46.59,,,6.033
1986,ESP,,,,22.62,,,21.259
1986,FIN,,,,,,,5.32
1986,FRA,,,,23.62,,,10.23
1986,GBR,,,,38.52,,,11.508
1986,GRC,,,,21.39,,,7.356
1986,HND,,,,,,,12.12
1986,IDN,,,,,,,2.59
1986,IRL,,,,15.27,,,18.02
1986,IRN,,,,,,,14.2
1986,ITA,,,,16.49,,,10.535
1986,JOR,,,,,,,13.3
1986,JPN,,,,,,,2.8
1986,KOR,,,,,,,3.81
1986,LSO,,,,,,,10.0
1986,LUX,,,,14.32,,,2.631
1986,MKD,,,,,,,21.7
1986,MLT,,,,,,,6.8
1986,MYS,,,,,,,8.29
1986,NGA,,,,,,,3.94
1986,NIC,,,,,,,4.7
1986,NOR,,,,,,,1.79
1986,PAK,,,,,,,3.97
1986,PAN,,,,,,,10.53
1986,PER,,,,,,,5.32
1986,PHL,,,,,,,6.43
1986,PRT,,,,20.07,,,8.698
1986,PRY,,,,,,,6.1
1986,SDN,,,,,,,13.11
1986,SLV,,,,,,,8.63
1986,SUR,,,,,,,16.37
1986,SWE,,,,,,,2.23
1986,THA,,,,,,,3.5
1986,TTO,,,,,,,9.37
1986,URY,,,,,,,10.7
1986,USA,,,,,,,7.0
1986,VEN,,,,,,,10.93
1986,ZMB,,,,,,,13.0
1987,ALB,,,,,,,6.1
1987,ARG,,,,,,,5.3
1987,AUS,,,,,,,8.106
1987,AUT,,,,,,,3.79
1987,BEL,,,,17.48,,,11.257
1987,BOL,,,,,,,20.32
1987,BRA,,,,,,,3.56
1987,CAN,,,,38.25,,,8.82
1987,CHE,,,,,,,0.8
1987,CHN,,,,,,,2.0
1987,COL,,,,,,,10.83
1987,CYP,,,,,,,3.4
1987,DEU,,,,18.06,,,6.813
1987,DNK,,,,41.46,,,6.091
1987,ECU,,,,,,,7.24
1987,ESP,,,,24.05,,,20.607
1987,FIN,,,,,,,5.07
1987,FRA,,,,23.75,,,10.735
1987,GBR,,,,40.41,,,11.017
1987,GRC,,,,25.44,,,7.448
1987,GTM,,,,,,,2.4
1987,GUY,,,,,,,13.09
1987,HND,,,,,,,11.4
1987,IDN,,,,,,,2.55
1987,IRL,,,,27.13,,,18.056
1987,ITA,,,,16.93,,,10.719
1987,JOR,,,,,,,14.8
1987,JPN,,,,,,,2.8
1987,KOR,,,,,,,3.088
1987,LUX,,,,15.67,,,2.465
1987,MAR,,,,,,,14.7
1987,MKD,,,,,,,21.5
1987,MLT,,,,,,,4.4
1987,MYS,,,,,,,7.33
1987,NIC,,,,,,,5.8
1987,NLD,,,,45.07,,,9.898
1987,NOR,,,,,,,2.03
1987,PAK,,,,,,,3.05
1987,PAN,,,,,,,11.84
1987,PER,,,,,,,3.63
1987,PHL,,,,,,,9.1
1987,PRT,,,,16.66,,,7.377
1987,PRY,,,,,,,5.51
1987,SUR,,,,,,,19.53
1987,SWE,,,,,,,2.15
1987,THA,,,,,,,5.77
1987,TTO,,,,,,,22.11
1987,URY,,,,,,,9.1
