year,country_code,tax_revenue,inflation,gdp
1996,TGO,,5.387927806359102,2069506014.466592
1996,THA,16.726217629269495,4.098140923842863,183035237429.28085
1996,TJK,,430.4127281981878,1043654822.3350254
1996,TKM,,1014.0116158198344,2378759975.4450583
1996,TLS,,8.160090852748397,306956900.0
1996,TON,,2.974756265354088,222100545.63087264
1996,TTO,,1.8495432017300144,5759570336.112875
1996,TUN,19.837619254915744,4.356595249080144,19587161806.765507
1996,TUR,15.199521054209304,77.22351221670604,181464408820.09705
1996,TUV,,12.69226345508639,13338597.330073724
1996,TZA,,19.31365584041467,9433528150.36609
1996,UGA,,4.572481282433259,6044585326.938001
1996,UKR,,66.14566155786949,44558831005.062126
1996,URY,17.351102234929826,26.43173777947429,20515458113.58567
1996,USA,11.373914577284973,1.830764559334554,8073122000000.0
1996,UZB,,81.55525468563718,13948892215.568865
1996,VEN,,115.52471793332924,70543211119.09897
1996,VNM,,8.696767117435456,24657470574.75013
1996,VUT,18.57191780821918,2.085194743605328,261370044.4866137
1996,WSM,,4.590050944928478,249907868.77242404
1996,YEM,,36.77008789747319,6496163615.660856
1996,ZAF,20.984636481790425,8.022087992422186,163234925380.56342
1996,ZMB,16.10561795456529,24.34925955952632,3597220962.000165
1996,ZWE,,8.984383328406281,8553146600.0
1997,AGO,,95.45302217911292,7648377412.832772
1997,ALB,9.904836957177867,11.239644480212462,2258513974.0967965
1997,ARE,0.992336343973077,-0.9523007134942532,78839008444.56552
1997,ARG,8.69008635554994,-0.4639131311642899,292859000000.0
1997,ARM,,17.735994494583693,1639492444.7615163
1997,AUS,22.375575974778368,1.272790807282064,435642611296.5858
1997,AUT,26.92621170908297,1.2625441960546482,211724812267.44843
1997,AZE,10.693809961054995,9.242504440995816,3962362387.479221
1997,BDI,11.420361726954493,32.39778923077472,972896267.915425
1997,BEL,26.56702431710632,0.7576108964401698,252708051420.83896
1997,BEN,,3.667509174124376,2268301646.4670687
1997,BFA,,1.556199849837128,2447669101.9517813
1997,BGD,,3.8002322009131433,48244309133.489456
1997,BGR,18.522634900133493,913.213096376198,11316127378.96127
1997,BIH,,11.149293946836352,3671909673.044008
1997,BLR,20.73459095493825,71.64957473319257,14130585516.178738
1997,BLZ,14.72486833066178,-1.520460775624315,873400000.0
1997,BOL,12.620346024981576,5.705043358223392,7925736821.450335
1997,BRA,,7.729023411844111,883206179730.4618
1997,BTN,6.793272607048029,12.906874796451945,352229076.70762706
1997,BWA,,4.99060848779871,5020265626.664892
1997,CAF,,0.8233810006473874,937741513.0153517
1997,CAN,14.567728347824168,1.1441283067035355,654986999855.554
1997,CHE,8.323929212345671,-0.4764833369483483,294788198856.1979
1997,CHL,15.781100956554658,3.33058050494175,85741415285.4035
1997,CHN,,1.6165687420605934,961601980984.6226
1997,CIV,,3.921474201352197,18047558037.70358
1997,CMR,,6.163811054507789,10789458432.641554
1997,COD,4.053750050671876,192.6428345357138,6090840548.187839
1997,COG,,4.9645176820283865,2322719102.6908984
1997,COL,,16.839852934108478,106656492293.614
1997,COM,,0.9243665496079956,364445600.5254924
1997,CPV,,-0.835291448659234,490608657.9249761
1997,CRI,12.613164915420963,14.67989292357828,12614602382.201204
1997,CYP,17.117228473141548,2.2369213747957417,9547816419.612314
1997,CZE,14.997909124339255,8.35344537181983,62539765163.13023
1997,DEU,10.69647922406694,0.1450232030532987,2218790886532.822
1997,DJI,,,502675542.0012266
1997,DNK,31.8221219420916,2.013168641938506,173241365735.4834
1997,DOM,11.408787925252453,9.451332812398178,20017450041.30753
1997,DZA,,7.0019630481718025,48177612042.15065
1997,ECU,,7.006173048843436,28162053026.513256
1997,EGY,15.964648364046637,9.87627742790933,78436578171.09145
1997,ESP,,2.465032068602383,589739772727.2727
1997,EST,21.96718916807821,9.922477719496882,5154420649.233543
1997,ETH,10.266606899145152,0.20665555091621,8803539988.332483
1997,FIN,22.62467949875411,2.0855227646977994,126862902302.1418
1997,FJI,,3.2900559949146952,2090221137.0287635
1997,FRA,21.205096624777887,0.8747620494304442,1449392222971.454
1997,FSM,,0.6512031930927265,206626300.0
1997,GAB,,0.9465368383561952,5326817114.535865
1997,GBR,23.737131649194204,-0.1468312485769871,1560911918795.023
1997,GEO,10.6237239017322,6.534975171174182,3510520231.2138724
1997,GHA,,19.45816758897025,6891443192.249848
1997,GIN,,1.434126666367817,5516916163.094898
1997,GMB,,-5.9691194512561765,803633342.4737065
1997,GNB,,34.13819479862596,698107222.4224917
1997,GRC,20.139711718112384,6.6183440329809855,138766067640.08487
1997,GRD,,1.7847072215938908,392190592.5925926
1997,GTM,8.697669273037151,8.257339516857414,17790026221.613865
1997,GUY,,1.4432537062100153,749138009.5645396
1997,HND,,16.811605138756263,5737099650.190114
1997,HRV,22.284131507327427,6.890487526654681,24175764812.12184
1997,HTI,,12.726991500805768,3338949151.599272
1997,HUN,20.934715481019992,20.260798577871668,47296952928.75605
1997,IDN,16.01184841447083,12.57137629568949,215748998609.635
1997,IND,9.008577732693814,6.476271259395404,415867563592.829
1997,IRL,26.87358514634623,3.929263823038582,82856648758.35721
1997,IRN,10.157962098625523,15.52808649572161,113919163421.47868
1997,IRQ,,91.49879783802292,20764857056.379494
1997,ISL,21.996903575994114,2.754100523666424,7569672925.337391
1997,ISR,25.610748921566817,8.134726754596969,119246040470.80652
1997,ITA,25.7112738331661,2.544150507504611,1244988176443.838
