year,country_code,pop_ages,gender,number
1960,HND,15-64,female,512576.0
1960,HND,15-64,male,513505.0
1960,HND,65+,female,35496.0
1960,HND,65+,male,31166.0
1960,HUN,0-14,female,1236879.0
1960,HUN,0-14,male,1290845.0
1960,HUN,15-64,female,3404992.0
1960,HUN,15-64,male,3148988.0
1960,HUN,65+,female,525858.0
1960,HUN,65+,male,376407.0
1960,ISL,0-14,female,29693.0
1960,ISL,0-14,male,31557.0
1960,ISL,15-64,female,49440.0
1960,ISL,15-64,male,50739.0
1960,ISL,65+,female,7757.0
1960,ISL,65+,male,6388.0
1960,IND,0-14,female,85722314.0
1960,IND,0-14,male,91215931.0
1960,IND,15-64,female,118144457.0
1960,IND,15-64,male,126524087.0
1960,IND,65+,female,7225811.0
1960,IND,65+,male,7157739.0
1960,IDN,0-14,female,17500016.0
1960,IDN,0-14,male,17603119.0
1960,IDN,15-64,female,25666856.0
1960,IDN,15-64,male,25365583.0
1960,IDN,65+,female,1189325.0
1960,IDN,65+,male,971171.0
1960,IRN,0-14,female,4536090.0
1960,IRN,0-14,male,4807263.0
1960,IRN,15-64,female,5499029.0
1960,IRN,15-64,male,5741393.0
1960,IRN,65+,female,439487.0
1960,IRN,65+,male,447171.0
1960,IRQ,0-14,female,1375915.0
1960,IRQ,0-14,male,1418133.0
1960,IRQ,15-64,female,2045612.0
1960,IRQ,15-64,male,1946420.0
1960,IRQ,65+,female,136843.0
1960,IRQ,65+,male,99130.0
1960,IRL,0-14,female,426979.0
1960,IRL,0-14,male,446991.0
1960,IRL,15-64,female,812212.0
1960,IRL,15-64,male,825258.0
1960,IRL,65+,female,166673.0
1960,IRL,65+,male,150486.0
1960,ISR,0-14,female,365346.0
1960,ISR,0-14,male,379683.0
1960,ISR,15-64,female,629800.0
1960,ISR,15-64,male,633004.0
1960,ISR,65+,female,55479.0
1960,ISR,65+,male,50708.0
1960,ITA,0-14,female,6133686.0
1960,ITA,0-14,male,6422255.0
1960,ITA,15-64,female,16988057.0
1960,ITA,15-64,male,15884224.0
1960,ITA,65+,female,2732577.0
1960,ITA,65+,male,2038900.0
1960,JAM,0-14,female,337875.0
1960,JAM,0-14,male,341495.0
1960,JAM,15-64,female,485810.0
1960,JAM,15-64,male,414863.0
1960,JAM,65+,female,41435.0
1960,JAM,65+,male,28527.0
1960,JPN,0-14,female,13773044.0
1960,JPN,0-14,male,14036619.0
1960,JPN,15-64,female,31069124.0
1960,JPN,15-64,male,28984151.0
1960,JPN,65+,female,3068233.0
1960,JPN,65+,male,2284830.0
1960,JOR,0-14,female,191521.0
1960,JOR,0-14,male,201539.0
1960,JOR,15-64,female,208005.0
1960,JOR,15-64,male,216634.0
1960,JOR,65+,female,17092.0
1960,JOR,65+,male,18680.0
1960,KAZ,0-14,female,1728594.0
1960,KAZ,0-14,male,1780897.0
1960,KAZ,15-64,female,2881669.0
1960,KAZ,15-64,male,2542317.0
1960,KAZ,65+,female,267175.0
1960,KAZ,65+,male,229329.0
1960,KEN,0-14,female,1857081.0
1960,KEN,0-14,male,1892342.0
1960,KEN,15-64,female,1916752.0
1960,KEN,15-64,male,1782871.0
1960,KEN,65+,female,106454.0
1960,KEN,65+,male,139807.0
1960,KIR,0-14,female,9998.0
1960,KIR,0-14,male,10381.0
1960,KIR,15-64,female,12648.0
1960,KIR,15-64,male,11869.0
1960,KIR,65+,female,1273.0
1960,KIR,65+,male,988.0
1960,KOR,0-14,female,5009391.0
1960,KOR,0-14,male,5323028.0
1960,KOR,15-64,female,6943592.0
1960,KOR,15-64,male,6953534.0
1960,KOR,65+,female,471607.0
1960,KOR,65+,male,311222.0
1960,XKX,0-14,female,199022.0
1960,XKX,0-14,male,202486.0
1960,XKX,15-64,female,265756.0
1960,XKX,15-64,male,275830.0
1960,XKX,65+,female,23132.0
1960,XKX,65+,male,18620.0
1960,KGZ,0-14,female,411401.0
1960,KGZ,0-14,male,426591.0
1960,KGZ,15-64,female,642069.0
1960,KGZ,15-64,male,555850.0
1960,KGZ,65+,female,76273.0
1960,KGZ,65+,male,60117.0
1960,LAO,0-14,female,443826.0
1960,LAO,0-14,male,442402.0
1960,LAO,15-64,female,599210.0
1960,LAO,15-64,male,579287.0
1960,LAO,65+,female,29588.0
1960,LAO,65+,male,27201.0
1960,LVA,0-14,female,230998.0
1960,LVA,0-14,male,240396.0
1960,LVA,15-64,female,802604.0
1960,LVA,15-64,male,622431.0
1960,LVA,65+,female,150060.0
1960,LVA,65+,male,74490.0
1960,LBN,0-14,female,370675.0
1960,LBN,0-14,male,389964.0
1960,LBN,15-64,female,464895.0
1960,LBN,15-64,male,464340.0
1960,LBN,65+,female,55972.0
1960,LBN,65+,male,48562.0
1960,LSO,0-14,female,165396.0
1960,LSO,0-14,male,167131.0
1960,LSO,15-64,female,223373.0
1960,LSO,15-64,male,147626.0
1960,LSO,65+,female,21394.0
1960,LSO,65+,male,11580.0
1960,LBR,0-14,female,233971.0
1960,LBR,0-14,male,233911.0
1960,LBR,15-64,female,304514.0
1960,LBR,15-64,male,334216.0
1960,LBR,65+,female,15687.0
1960,LBR,65+,male,17222.0
1960,LTU,0-14,female,371637.0
1960,LTU,0-14,male,382600.0
1960,LTU,15-64,female,987658.0
1960,LTU,15-64,male,817148.0
1960,LTU,65+,female,138528.0
1960,LTU,65+,male,80980.0
1960,LUX,0-14,female,32599.0
1960,LUX,0-14,male,34065.0
1960,LUX,15-64,female,107639.0
1960,LUX,15-64,male,106342.0
1960,LUX,65+,female,18575.0
1960,LUX,65+,male,14750.0
1960,MDG,0-14,female,1154588.0
1960,MDG,0-14,male,1157586.0
1960,MDG,15-64,female,1259982.0
1960,MDG,15-64,male,1369332.0
1960,MDG,65+,female,92851.0
1960,MDG,65+,male,76690.0
1960,MWI,0-14,female,799667.0
1960,MWI,0-14,male,763161.0
1960,MWI,15-64,female,1023415.0
1960,MWI,15-64,male,932211.0
1960,MWI,65+,female,60884.0
1960,MWI,65+,male,48796.0
1960,MYS,0-14,female,1782144.0
1960,MYS,0-14,male,1833618.0
1960,MYS,15-64,female,2009660.0
1960,MYS,15-64,male,2106633.0
1960,MYS,65+,female,112418.0
1960,MYS,65+,male,111724.0
1960,MDV,0-14,female,17044.0
1960,MDV,0-14,male,17495.0
1960,MDV,15-64,female,23385.0
1960,MDV,15-64,male,30345.0
1960,MDV,65+,female,1005.0
1960,MDV,65+,male,1916.0
1960,MLI,0-14,female,1090997.0
1960,MLI,0-14,male,1085857.0
1960,MLI,15-64,female,1514739.0
1960,MLI,15-64,male,1564810.0
1960,MLI,65+,female,73122.0
1960,MLI,65+,male,73025.0
1960,MLT,0-14,female,58304.0
1960,MLT,0-14,male,58541.0
1960,MLT,15-64,female,101165.0
1960,MLT,15-64,male,85120.0
1960,MLT,65+,female,13155.0
1960,MLT,65+,male,10266.0
1960,MHL,0-14,female,3270.0
1960,MHL,0-14,male,3515.0
1960,MHL,15-64,female,3449.0
1960,MHL,15-64,male,3610.0
1960,MHL,65+,female,421.0
1960,MHL,65+,male,437.0
1960,MRT,0-14,female,172778.0
1960,MRT,0-14,male,172138.0
1960,MRT,15-64,female,235367.0
1960,MRT,15-64,male,225045.0
1960,MRT,65+,female,9415.0
1960,MRT,65+,male,9556.0
1960,MUS,0-14,female,149606.0
1960,MUS,0-14,male,155004.0
1960,MUS,15-64,female,169935.0
1960,MUS,15-64,male,181827.0
1960,MUS,65+,female,12595.0
1960,MUS,65+,male,7716.0
1960,MEX,0-14,female,8517620.0
1960,MEX,0-14,male,8668392.0
1960,MEX,15-64,female,9315219.0
1960,MEX,15-64,male,9201370.0
1960,MEX,65+,female,528294.0
1960,MEX,65+,male,493720.0
1960,FSM,0-14,female,9491.0
1960,FSM,0-14,male,10005.0
1960,FSM,15-64,female,10886.0
1960,FSM,15-64,male,11215.0
1960,FSM,65+,female,796.0
1960,FSM,65+,male,669.0
1960,MDA,0-14,female,355340.0
1960,MDA,0-14,male,354889.0
1960,MDA,15-64,female,695026.0
1960,MDA,15-64,male,551051.0
1960,MDA,65+,female,66248.0
1960,MDA,65+,male,35464.0
1960,MNG,0-14,female,186764.0
1960,MNG,0-14,male,185331.0
1960,MNG,15-64,female,276724.0
1960,MNG,15-64,male,273177.0
1960,MNG,65+,female,31460.0
1960,MNG,65+,male,24139.0
1960,MNE,0-14,female,87542.0
1960,MNE,0-14,male,86120.0
1960,MNE,15-64,female,148582.0
1960,MNE,15-64,male,126997.0
1960,MNE,65+,female,18521.0
1960,MNE,65+,male,12817.0
1960,MAR,0-14,female,2575690.0
1960,MAR,0-14,male,2638131.0
1960,MAR,15-64,female,3071537.0
1960,MAR,15-64,male,3011536.0
1960,MAR,65+,female,177748.0
1960,MAR,65+,male,150290.0
1960,MOZ,0-14,female,1354032.0
1960,MOZ,0-14,male,1397628.0
1960,MOZ,15-64,female,1961904.0
